"ADIPOR2"	"AEBP2"	"ALG10"	"ARNTL2"	"ATN1"	"C12orf4"	"CCDC77"	"CD9"	"CDCA3"	"COPS7A"	"DERA"	"DNM1L"	"EMG1"	"ERC1"	"ERGIC2"	"FKBP4"	"FOXJ2"	"GAPDH"	"ITFG2"	"KDM5A"	"LPCAT3"	"M6PR"	"MLF2"	"MRPL51"	"MRPS35"	"NCAPD2"	"NECAP1"	"PARP11"	"PEX5"	"PLEKHA5"	"PLEKHG6"	"RAD51AP1"	"RAD52"	"STRAP"	"TULP3"	"USP5"	"WBP11"	"ZNF384"
"TCGA.60.2711.01A.01R.0851.07"	2794.5295	1206.1256	289.575	379.3301	5137.6628	446.4827	243.3871	47639.014	563.9309	3369.421	1279.8297	1947.0969	1222.5043	1319.1385	1008.9264	5384.3256	706.9036	103838.2901	1082.3028	2202.9318	1869.7895	3509.7044	6353.6156	2561.6248	1263.451	5163.5411	835.64	273.5239	1428.548	1810.8263	429.7764	509.3768	159.6855	2829.9075	1024.6499	4068.7904	2876.4229	1976.9061
"TCGA.60.2712.01A.01R.0851.07"	2023.0985	582.2495	90.7294	280.5119	4297.1595	452.8145	185.6206	14579.1281	212.3608	1624.8049	627.198	1973.5719	688.3779	1378.4206	576.4228	3193.008	944.7508	89721.3609	501.9249	1867.0274	1251.8989	2864.4054	4342.108	1419.6233	1189.8866	2956.6122	537.301	322.9633	1846.6341	423.6812	410.7793	331.2871	119.4465	1762.9799	810.7377	2505.4625	1577.3593	1469.5661
"TCGA.60.2713.01A.01R.0851.07"	3834.4788	841.7854	213.2677	480.6482	4009.2599	493.67	107.936	29423.7141	242.7606	2031.6863	982.4206	2411.3434	783.2916	1265.1378	906.6049	6301.0924	1025.8265	121041.742	513.9261	1287.1301	1329.0892	4006.3575	4517.9773	1853.7221	1135.4988	2348.8389	710.1208	344.9324	1568.4005	802.4307	431.1654	441.5829	77.876	4100.7017	849.0197	3218.4041	2953.628	1371.3376
"TCGA.60.2714.01A.01R.0851.07"	1705.3815	588.2153	146.4578	97.0708	4795.9809	430.5177	64.3733	9802.1117	403.7772	1933.5831	927.4523	853.8828	1113.4196	927.1117	1145.7766	3928.1335	653.951	97169.2779	260.8992	1227.5204	1892.7112	2152.9871	5160.7629	1619.5504	1756.1308	2275.2044	993.5286	65.7357	1059.6049	280.3134	467.9837	394.4142	150.2044	3190.7357	838.8965	2513.624	2735.3542	1305.5177
"TCGA.60.2715.01A.01R.0851.07"	1698.6829	824.6065	114.6804	276.2608	4166.0777	395.1173	123.0324	7870.8641	197.6807	1526.5018	541.2785	1248.6348	507.8702	1214.584	504.9791	1924.5101	892.708	45151.9435	344.3624	1330.5493	1451.9756	3207.398	3119.4989	1263.7327	733.3762	1657.565	677.4815	232.2518	914.8731	471.2496	172.8236	155.477	154.8346	1684.8699	527.4655	1726.6303	1707.9987	1084.8057
"TCGA.60.2716.01A.01R.0851.07"	1850.1492	923.3003	140.9791	163.239	5214.2915	370.0298	205.2714	6566.6586	124.7455	1951.4477	432.9381	1548.1894	554.2157	1297.8466	414.8722	5207.5167	793.6124	113133.9624	750.0605	1628.4249	1754.6576	2987.2345	4956.8514	1420.4371	1534.9625	2329.5427	683.2809	331.6396	1280.7484	536.8175	405.8392	117.1062	220.9856	2463.7471	587.1441	3076.6997	2317.2837	1380.1113
"TCGA.60.2719.01A.01R.0851.07"	2772.3103	1552.8092	216.5441	347.8656	3822.2761	481.9167	220.5626	16158.617	594.1891	1941.3147	777.921	2499.0522	1102.8008	1295.6251	799.7574	5887.9369	856.4713	91817.4236	459.4738	2146.2582	3061.9456	4504.2141	5902.4945	2225.4909	1922.5112	4486.466	762.4536	237.7739	1774.8123	1591.6294	474.638	650.8454	100.0834	3755.8572	713.0184	3338.843	3073.167	1416.9384
"TCGA.60.2720.01A.01R.0851.07"	2824.4064	801.2148	114.3015	379.9006	4080.0663	383.7659	66.8139	23778.5754	342.9873	2032.5787	1176.1458	1499.7239	1659.8564	345.6654	1104.9144	6612.3689	722.8051	208115.958	569.2987	616.2341	2153.5064	2693.8156	9146.328	4554.942	1743.2358	2136.9409	628.3821	314.7432	1164.55	580.8945	948.095	229.7073	20.4307	4891.2203	547.2115	3263.9426	2101.6013	1163.4456
"TCGA.60.2721.01A.01R.0851.07"	2682.5942	1140.5721	224.5929	337.6719	6163.7846	306.3698	198.7687	25347.3071	279.9234	2645.4229	788.8142	1540.0658	739.0359	1370.2516	802.5089	2082.7668	1047.8395	50023.1832	646.7807	2218.9311	2376.2245	3323.4588	4629.1967	1774.4406	732.079	3698.7403	807.9867	163.5537	707.0373	1752.5291	680.0392	221.0714	164.3363	2591.818	407.7105	2784.3262	2562.8635	1685.2295
"TCGA.60.2722.01A.01R.0851.07"	3582.7161	943.1127	194.5995	1142.2297	2888.4128	230.7394	230.0444	27407.2568	269.5481	1907.4228	688.0483	1992.56	823.851	1013.655	535.1487	9333.4793	1096.0123	83362.2626	290.5093	1566.1786	2117.6597	3310.4331	5398.3991	1761.8206	1282.9668	3594.1836	545.5736	210.237	979.2526	969.5226	618.5485	244.6394	103.3115	3028.1075	518.4687	2326.1592	1814.988	941.3752
"TCGA.60.2723.01A.01R.0851.07"	3175.0645	1197.0552	255.0913	707.1422	4154.1256	493.355	246.6775	26046.4672	639.3039	2956.688	1761.5451	2309.2074	1356.4624	770.2457	1200.4972	9239.1242	934.3149	412920.1645	343.0538	1880.8682	1875.5139	4701.2487	7826.3696	3395.7357	1979.5392	4912.1331	1250.5976	284.1572	1454.0587	772.5404	470.7907	341.9065	74.5769	6776.9385	878.4779	4038.627	3533.7986	1058.9923
"TCGA.60.2724.01A.01R.0851.07"	2033.3556	576.3843	149.0517	589.3453	3755.6466	739.9219	165.4436	9804.2505	329.8237	3885.638	1262.1748	2571.6192	1661.2828	797.8652	1384.5421	6438.5781	592.3949	158390.5461	307.6337	1152.7685	2396.6454	3808.985	5159.6302	2588.0111	2128.6572	2926.1412	787.9539	226.4367	1175.6409	826.0745	233.2984	450.9673	103.307	4607.6432	595.4446	3849.0422	2525.8744	1071.9527
"TCGA.60.2725.01A.01R.1201.07"	2369.4261	1249.5107	229.9984	1015.9738	4187.2983	721.8412	252.9983	31696.4375	215.9022	1694.4692	995.6278	1798.4108	837.2827	1038.9737	1104.8771	4176.2407	645.7648	65741.5127	361.8052	1672.7963	1124.7808	4809.1433	4680.468	1881.1218	1693.5846	2779.4426	1018.1854	266.2674	998.2816	755.0141	909.3784	553.7655	112.7877	4074.5106	1003.5893	2719.2891	2614.0206	1027.9161
"TCGA.60.2726.01A.01R.0851.07"	2126.349	2851.9462	129.9867	136.777	10319.3889	243.9675	181.8843	31710.9252	1325.1461	2231.1143	829.3925	2600.2183	2412.9793	568.9342	1065.5996	4584.455	928.3376	148584.94	321.0865	811.9316	2497.393	2784.1445	13149.0239	2652.1159	1811.0828	4263.3685	1265.4299	142.1123	1310.5372	1394.4465	869.6496	1765.0055	177.2329	2165.636	522.8568	3776.8886	1857.6452	1623.3782
"TCGA.63.5128.01A.01R.1443.07"	5417.1804	2670.5028	326.6201	2324.702	9014.3855	621.455	324.976	34020.5508	618.7971	3026.716	3484.3129	3487.053	1389.215	2692.9716	1635.2925	5897.7942	1810.659	1043249.76	996.8489	4280.0384	2104.9459	9459.3725	8669.6808	3632.8264	2454.0348	6585.5597	983.1484	497.6024	2802.5757	966.7078	1683.5183	509.1108	280.5864	6800.3836	1172.2154	5669.2698	5846.8283	2720.3727
"TCGA.63.5131.01A.01R.1443.07"	3363.1486	996.8614	204.6083	327.0511	5943.3078	822.461	313.7596	32561.3196	338.3529	4230.3173	1060.9022	1944.5846	970.2784	1941.7652	878.0436	2466.9802	899.3905	144914.2447	420.897	2275.6634	4579.1181	8141.2402	7487.9395	2325.2044	1174.8867	4279.8583	1170.4563	377.8004	1465.2856	1213.9557	446.2717	417.6749	156.6784	4066.7917	922.7513	3747.7961	3357.5097	1346.065
"TCGA.63.6202.01A.11R.1820.07"	1589.3371	529.6629	98.2664	218.1375	4106.6295	411.1856	162.035	3612.1613	548.7133	1220.6638	584.7199	1169.4398	715.3933	1707.4658	794.8428	6719.7491	682.6379	87649.7953	188.1697	1463.1937	1141.9113	2685.2269	3977.3499	1852.0777	1531.8408	3020.4722	743.9672	159.5958	1093.8235	655.8063	333.4785	293.4053	58.8901	2737.5207	663.8209	2330.8651	3240.0035	956.1809
"TCGA.63.7020.01A.11R.1949.07"	3523.272	1135.4469	265.1719	1128.4183	4865.7447	444.722	154.6304	23336.4057	362.7999	2411.4669	883.6934	1344.3896	909.8911	2359.0715	856.8567	3185.8967	1247.2664	176366.1545	855.5788	2367.3781	3561.6101	7150.0122	6663.163	2038.3094	1559.722	4233.166	734.8137	424.914	1589.1145	1849.1747	908.6131	384.659	187.8567	2725.8394	543.1232	3257.4612	3104.7477	1924.573
"TCGA.63.7021.01A.11R.1949.07"	2914.267	1023.6514	68.5507	1835.3142	4442.5435	310.4942	174.545	28545.3003	269.4386	2023.1085	737.9277	1634.8468	591.6095	1607.1961	755.7854	4504.7575	976.4148	109724.2564	365.7955	1543.8299	1794.9903	2325.2844	5115.3768	1743.7214	737.3516	2640.6405	793.8051	115.7872	1126.7654	798.4135	900.9515	188.3703	113.483	2089.931	569.7193	2674.6278	1951.1015	1311.1033
"TCGA.63.7022.01A.11R.1949.07"	2155.125	811.7348	170.4024	576.8894	4779.3212	322.835	158.0095	16020.9192	217.7742	1868.8491	498.1945	1285.7632	583.0859	2090.0623	760.3043	2352.7917	1015.598	116708.88	438.7086	2347.8346	1672.4216	3967.0721	4666.5458	1683.5752	844.576	2585.7782	659.9218	279.4599	993.9104	834.6617	192.7096	162.347	58.8663	2598.1711	584.9448	2904.8953	2641.5463	1313.0276
"TCGA.63.7023.01A.11R.1949.07"	7814.7578	4818.6664	216.5107	221.2484	17873.7416	1067.8669	212.7206	71952.1497	2245.093	5545.896	2294.9189	2723.2027	2062.7739	508.8239	768.4472	39805.7562	4739.5476	315027.8337	1327.964	966.0073	3401.1607	11373.7108	18269.8093	7317.778	1679.4978	28262.4659	2876.2288	902.9966	6527.0638	3608.6699	2503.3756	2044.2971	100.4382	8680.3269	4431.6001	11228.7102	8811.5599	5922.0656
"TCGA.63.A5MB.01A.11R.A26W.07"	2645.4958	2245.8414	240.6567	817.0231	5221.8622	508.1011	335.7097	29296.1763	662.5275	2590.6243	1026.1396	2529.272	955.714	991.5749	2140.4191	6157.7014	1001.9443	93092.6636	423.4176	2228.5591	2089.4362	4526.3037	8726.7228	2650.6805	3723.9145	4721.9702	752.2143	308.0579	1859.1488	1340.2463	896.954	878.8075	163.3182	4379.7797	1004.5366	3411.1039	2830.4169	2052.2791
"TCGA.63.A5MG.01A.12R.A27Q.07"	2474.7373	1046.207	173.3122	1012.8113	5172.8804	579.2428	310.3498	19908.4497	290.2778	2422.9164	697.2794	1562.1131	713.4015	1261.5517	1065.7838	5563.2647	1147.5457	83753.5627	386.9296	1654.815	3571.0379	3366.6561	4287.3183	2251.9073	1205.1245	2173.0243	828.5591	331.0782	1127.3931	1168.8499	169.2817	252.771	193.2057	2569.7423	487.1167	2395.8543	1916.7986	1653.6635
"TCGA.63.A5MH.01A.12R.A27Q.07"	2279.1557	1625.8575	192.6121	732.4538	5983.6412	529.8153	275.4617	20604.7493	302.6174	1539.8417	788.9182	2133.5092	605.8047	756.2005	991.5567	2437.9947	934.5646	98892.876	489.7098	1551.4512	1046.9657	3050.0633	4193.1398	2026.3852	1383.1135	3177.3087	642.7441	20.5805	1116.095	1134.5646	550.3958	486.5435	180.4749	3720.8443	916.095	2283.905	2182.5858	1249.6042
"TCGA.63.A5MI.01A.12R.A27Q.07"	3500.5464	2446.4481	331.694	571.0383	5192.8962	445.3552	318.0328	32879.7814	510.7322	3008.7432	914.2077	2838.2514	676.2186	2084.6995	1238.7978	6051.3661	1301.0929	251390.7104	310.929	2690.1639	1428.4153	5721.0437	8383.0601	3488.5246	2026.2295	5797.8142	843.1694	35.5191	2167.2131	1889.071	267.2131	754.6448	240.3989	4749.1803	1012.0219	4639.8907	4790.7104	1925.1366
"TCGA.63.A5MJ.01A.11R.A27Q.07"	2451.0972	1436.9906	275.2351	950.7837	5992.79	458.9342	278.6834	38864.2633	650.1755	1986.2069	896.8652	2147.9624	1156.4263	1135.1097	918.4953	6123.8245	1200.3135	135647.0219	363.9498	1327.2727	3831.0345	5237.2257	5099.373	2047.9624	1465.2038	4426.9592	802.8213	168.0251	1726.6458	917.2414	579.9373	630.721	157.6803	2860.1881	558.9342	1883.6991	2497.1787	1382.4451
"TCGA.63.A5ML.01A.31R.A27Q.07"	2938.2139	2167.7051	154.7248	280.3738	4573.7279	461.0592	432.5026	13487.0197	410.9813	1912.2534	747.1443	2195.2233	626.0228	1548.8058	885.7736	4100.7269	1012.4611	78264.7975	199.8962	1997.9232	1077.8816	4697.2015	6428.8681	1858.2555	1205.0883	4649.0135	550.8827	289.7196	1215.4725	1184.3198	926.7913	622.5337	157.8401	2894.081	755.9709	3173.9356	1975.0779	1274.6625
"TCGA.63.A5MM.01A.11R.A26W.07"	1835.2196	670.8918	119.0584	803.531	3000	455.4097	193.3001	5333.6351	292.1684	2385.2422	577.1842	995.0204	949.2983	976.9126	1081.0321	2829.3345	572.6573	132639.2033	465.3689	1219.1037	662.2906	3141.7519	4068.3567	2563.1507	1200.5432	2909.914	859.665	271.6161	716.1612	527.388	47.0801	217.2929	157.0847	2765.5048	468.0851	2023.5401	1471.7067	1211.4079
"TCGA.63.A5MN.01A.22R.A27Q.07"	1940.6298	778.0072	114.6102	697.4703	4062.984	383.5829	141.4559	8058.3376	123.4383	1700.5679	935.9835	1204.4399	594.6154	1475.9938	1016.5204	1658.2344	893.65	81202.8911	457.9246	1688.1776	929.7883	3476.2777	3519.3598	1326.2777	975.2194	1826.5359	881.2597	252.4522	847.7026	639.1327	185.3382	167.269	82.0857	2090.8622	525.0387	1877.6458	2097.0573	1101.1874
"TCGA.63.A5MP.01A.11R.A26W.07"	1761.3316	795.1344	183.8668	6284.251	2640.2049	267.3496	100.128	12183.6108	301.1421	1428.6812	531.8822	1534.9552	526.7606	595.9027	1167.2215	2256.338	451.7286	39014.5967	302.1767	791.0371	999.2318	3348.2817	3302.9449	1487.58	5643.79	2166.4533	595.9027	236.1076	1148.2714	862.7401	193.0858	397.1831	86.5557	2174.3918	365.4289	1627.9129	1649.936	1051.2164
"TCGA.63.A5MR.01A.31R.A27Q.07"	4069.9145	1794.4713	277.1786	2144.0436	6046.8576	388.7443	287.0956	29776.125	394.7639	2332.9614	1214.33	3440.6843	975.8076	1444.4031	1087.8889	4745.7543	1180.1165	160412.5449	389.736	2020.0818	1513.3259	4122.4991	6389.9839	2247.1799	1732.9862	3691.0871	1218.7926	261.3115	1364.0759	917.8133	359.9851	497.3348	229.8599	2909.136	432.3788	2391.4714	2522.871	1632.3292
"TCGA.63.A5MS.01A.11R.A26W.07"	2788.9908	1064.2202	59.0347	465.8955	4081.3722	448.3446	207.4192	18063.0235	280.718	2442.7603	678.1013	641.4041	572.3016	1096.1308	898.2848	1643.3985	1008.3765	47859.5931	547.2677	1930.5943	1933.7854	4197.6067	3980.8536	1763.0634	1080.1755	3082.5688	869.5652	304.7467	773.8333	1193.4583	414.8385	357.3993	179.29	2452.3335	681.2924	2731.5517	1759.8724	1270.0439
"TCGA.63.A5MT.01A.21R.A26W.07"	6426.6901	1108.8674	158.0334	538.1914	10696.2248	402.9851	86.0404	25400.3512	861.9227	5721.6857	566.2862	1598.7709	3448.6392	2320.4565	896.4004	7812.1159	832.309	150918.3494	938.5426	656.7164	1968.3933	3170.0966	16602.2827	5630.3775	944.6883	8689.2011	808.604	345.0395	862.1598	438.9816	1176.4706	676.9096	701.115	2843.7226	1328.3582	7123.7928	1790.1668	5037.7524
"TCGA.63.A5MU.01A.11R.A26W.07"	2096.2672	1232.3183	251.9646	1213.6542	4853.6346	218.5658	348.2318	30794.6955	335.28	2500.9823	786.3458	1115.4224	552.0629	787.3281	829.0766	3061.8861	587.9175	82753.4381	235.2652	1777.9961	2049.6071	2608.0697	5090.3733	1807.4656	964.1454	3658.1532	577.6031	91.8468	728.8802	1150.7859	518.1729	512.7701	119.5972	2137.5246	518.1729	1940.0786	1619.3517	1357.0727
"TCGA.63.A5MV.01A.21R.A26W.07"	1883.7209	891.9574	181.686	338.1783	3767.4419	359.0116	181.2016	11499.031	148.6095	1662.7907	454.4574	1293.1202	589.6318	800.3876	720.4457	1697.1899	691.376	62582.3643	352.7132	1481.1047	930.2326	2646.7829	3802.8101	1402.1318	1109.4961	1794.5736	619.186	186.531	892.4419	764.0504	328.0039	215.1163	216.5698	2206.8798	556.2016	2030.5233	1602.7132	1284.3992
"TCGA.63.A5MW.01A.11R.A26W.07"	3391.8368	1893.9147	257.2881	292.8204	16232.6981	616.8922	673.8295	21608.3505	817.9109	2406.3504	981.6334	1801.017	1172.5575	3032.2327	1342.9499	6649.2501	1678.1522	78066.1864	520.1416	2333.5734	2555.7574	3758.8213	5511.7883	2796.3496	990.6235	7177.9537	1081.3808	357.4635	2200.8624	6283.6527	539.4061	1044.136	470.482	2848.1497	1416.155	3695.7878	2899.0936	2717.5792
"TCGA.63.A5MY.01A.11R.A26W.07"	2866.8223	1738.7175	233.9601	928.8912	3616.8845	378.9691	240.4461	17877.7964	681.82	2000.9382	787.5885	2262.6955	1124.3985	722.7283	850.1323	4931.6941	785.2721	159571.9225	219.1349	1376.4268	2465.6154	2672.047	7229.1361	3344.0082	1715.0898	4113.9919	552.2385	6.9493	1464.4514	1281.4529	486.915	495.2542	233.0335	3311.5781	700.4905	2789.4533	2351.6467	1673.394
"TCGA.66.2727.01A.01R.0980.07"	3473.1637	1145.2343	176.2448	1210.1665	4706.1636	657.8853	386.7395	45631.3416	635.5729	2557.3331	2320.794	2988.669	1839.1535	889.4296	1305.4243	6945.6139	1234.427	125443.8229	449.1744	1735.3332	3614.8017	5524.6992	8464.0304	3029.6976	2754.6273	5183.8797	1300.7863	99.8958	1750.6743	856.2499	668.9452	565.8385	165.8984	7259.2154	790.2473	5527.4499	3473.8772	1208.0259
"TCGA.66.2734.01A.01R.0980.07"	2399.9786	831.4223	178.2082	1101.3268	3305.9244	655.4822	160.3874	15309.3816	383.9707	2427.5199	1309.6684	1958.9943	991.4857	1045.5962	1090.9583	3571.2926	912.4261	167182.9575	525.5522	1597.0696	1919.4645	4152.0116	4320.4151	2233.759	1734.4519	3347.3983	899.7895	238.475	1157.0573	1064.7131	489.9106	320.4508	72.9034	4420.8598	588.4111	2875.9566	2665.6709	1160.2975
"TCGA.66.2737.01A.01R.0980.07"	2319.246	634.8434	163.3729	961.5891	3515.5569	612.5469	180.8047	21896.017	418.2913	2412.4861	1405.4931	2198.4392	1145.9816	932.8063	978.6156	4921.05	895.1049	98902.1993	344.583	1472.7881	1357.6568	3660.4763	4347.4207	1793.0475	1727.7795	2806.5268	787.6761	243.235	998.4798	1049.9645	385.1221	389.5814	143.5087	3618.9318	662.8154	2531.6712	1720.077	1088.8821
"TCGA.66.2742.01A.01R.0980.07"	2371.1025	899.3999	205.6713	321.9202	2997.5291	577.9503	204.2593	47045.0641	298.4351	2250.1471	1187.9045	1640.193	938.934	730.9095	899.8706	2340.04	890.9283	125338.9811	465.9372	1470.2906	1856.2184	3781.692	4299.3293	1596.4231	1542.2991	2970.7024	669.7259	329.4505	949.2882	1437.8162	444.7582	377.9268	76.2443	2798.4469	616.5431	1723.0262	2418.6375	1026.4737
"TCGA.66.2744.01A.01R.0980.07"	3090.1979	710.9986	161.5278	818.6838	3229.1763	606.5347	279.7975	12194.6618	527.0133	1366.774	1055.2232	2698.1132	1325.8168	1429.3603	1529.2223	6165.6696	841.6935	104457.8923	313.3916	1679.2453	1932.3516	6090.2899	3472.1583	2574.3212	1919.9264	3890.474	795.6742	406.8109	1182.2365	966.4059	204.3258	768.0626	93.4192	3315.2324	607.9153	2552.2319	3260.4694	1396.2264
"TCGA.66.2753.01A.01R.0980.07"	2612.1791	1096.8117	297.812	418.5557	3952.5018	483.3122	153.7965	10482.4437	358.8416	2053.3178	939.3052	1562.2484	1085.0071	1009.1207	1067.8062	4853.0207	762.9114	196561.0401	455.3185	1806.434	2182.4933	5452.8471	3954.5255	2025.3241	2042.8623	4494.1622	1025.9844	303.5457	725.8114	1155.1599	37.4373	389.5503	135.2465	3863.4618	673.1968	1896.1486	2941.0202	1273.5427
"TCGA.66.2754.01A.01R.0980.07"	2631.0768	597.0014	163.562	245.7974	1338.9368	848.7051	248.9777	1095.4112	591.8264	1472.0582	1622.4443	3246.2517	1572.0127	876.8741	1062.2444	8802.3626	327.5784	138542.4807	371.1949	1211.2676	704.6797	2975.6883	4565.652	1920.0363	6850.9768	3598.8187	2099.9546	180.8269	2278.5098	736.4834	112.6761	979.5547	152.2035	4759.2004	419.8092	2795.5475	3705.134	1124.4889
"TCGA.66.2755.01A.01R.0851.07"	2241.9068	749.5553	157.2394	836.7129	4215.5816	547.8477	427.6058	20693.7033	334.4931	1527.2145	646.0334	1327.2857	927.428	871.9317	625.756	3777.6592	515.4749	110490.9285	546.7805	1680.185	705.0872	3224.9128	3684.0982	2064.0342	1605.4785	3578.4418	572.0384	298.1145	1226.9655	465.6706	963.714	565.9908	109.5695	3000	800.4269	2527.5703	2910.3522	1069.7261
"TCGA.66.2756.01A.01R.0851.07"	2483.3075	916.9255	61.3354	62.1118	3660.3261	501.1646	306.677	18082.6863	372.7989	2088.1211	1174.3012	1855.2019	1306.6693	741.0714	908.7733	8475.1553	486.0248	80819.802	416.5373	1220.1087	711.9565	3319.4293	7013.9752	2075.6988	2441.382	2666.5373	1578.028	163.8199	1647.5155	1092.0031	546.1957	360.6366	225.8579	3412.2671	670.4193	3116.4596	2967.7795	1248.8354
"TCGA.66.2757.01A.01R.0851.07"	2217.7111	603.7806	166.8684	184.0022	2838.998	479.3742	221.6221	13369.215	434.1447	1255.9829	1089.1144	1851.1966	955.0237	809.7588	898.4077	6586.833	609.7402	72633.5785	585.1569	1621.38	797.0947	2525.3785	4163.1437	1880.9945	1604.6187	4017.1338	900.27	420.1509	1628.457	381.786	1048.8872	908.4645	110.2524	4637.6758	600.4283	3477.4188	3032.3121	1467.5482
"TCGA.66.2758.01A.02R.0851.07"	5966.5819	1534.6894	156.1932	857.6099	3274.2463	764.2572	256.8108	39809.2989	395.0745	3256.4475	1367.2357	2025.0636	2218.3073	942.6081	901.9252	8492.1903	925.899	147462.7679	646.2041	1363.2401	1921.5401	4872.3429	8184.8892	3087.9041	2841.6273	3379.9491	827.0977	179.8039	1661.097	1636.7599	1033.7813	633.854	148.9284	6031.2386	844.17	3803.1239	2741.373	1189.9746
"TCGA.66.2759.01A.01R.0851.07"	2584.8987	1012.1547	222.8361	893.9227	3014.3646	496.8692	216.2063	17352.1179	474.9134	1768.6924	1029.8343	1878.0847	1389.3186	991.8969	1156.1694	3247.1455	708.2873	122260.0368	302.7624	1241.2523	2043.0939	3348.1436	4746.593	2208.4715	1602.2099	3167.5875	777.1639	195.9484	972.0074	200.7366	629.0976	499.0792	114.5488	3597.0534	500.5525	2330.0184	2386.0037	1081.3996
"TCGA.66.2763.01A.01R.0851.07"	3080.4662	836.1185	230.0239	885.5498	4598.5114	429.4341	85.943	13593.8773	389.861	2768.1505	994.5232	1514.6749	1472.2651	697.0931	1064.1764	5984.2719	1001.8256	117332.678	390.1137	903.5248	2980.4803	4084.3393	4337.0313	2015.4473	1686.28	2340.1208	844.2634	161.4942	1013.6217	797.3599	84.2578	459.7669	115.1524	3603.9882	586.9962	3279.5956	2664.5134	1432.664
"TCGA.66.2765.01A.01R.0851.07"	1626.7977	520.5895	129.7008	554.5333	1811.8803	500.2233	160.7861	17550.6923	407.8071	2278.1599	1630.3707	1734.703	934.703	926.1277	762.1259	3593.3899	599.9107	212082.1795	350.1563	1077.6239	1260.2054	3342.3993	4567.3962	1934.7923	1629.2988	2881.6436	651.7195	289.7722	1043.3229	592.7646	454.4886	316.5699	61.8133	3365.0737	463.7785	2933.4524	2314.962	1002.9477
"TCGA.66.2766.01A.01R.0851.07"	2179.477	1800.7132	330.8241	690.9667	3803.8827	644.6117	197.7021	61068.9382	515.8875	5030.5071	4868.859	1726.2282	3639.0135	573.6926	937.0048	5598.6529	863.3122	300933.8352	345.0872	1213.9461	1980.5864	5043.5103	10450.0792	5618.0666	1928.6846	3335.5784	1629.5563	131.5372	2456.0222	513.8669	842.71	875.1981	142.2345	8909.6672	608.954	4812.599	3452.0602	1959.1918
"TCGA.66.2767.01A.01R.0851.07"	4542.3921	1979.5609	288.7964	1665.0265	8091.2188	836.866	266.4648	71227.1007	543.2475	2528.7661	2072.2937	2671.0825	1493.5655	1496.5935	1337.2445	10909.9167	1134.3679	129021.5746	734.6707	2452.6874	2972.3694	7063.134	7467.8274	3490.5375	1870.1741	3853.5201	1176.003	531.4156	1784.6329	1878.5011	1825.1325	934.1408	191.2755	5191.9001	1439.8183	4359.9546	4008.327	1914.0802
"TCGA.66.2768.01A.01R.0851.07"	2052.1131	549.0944	164.919	1163.9657	2888.1474	701.6206	196.3775	22615.5068	356.9368	2633.6193	2087.3848	2033.3651	2765.1732	615.5068	1037.1783	6030.1875	660.9469	84417.5405	208.4525	1058.1506	1563.7115	4994.0547	6376.8669	2147.7598	1875.4369	2375.9136	1107.0861	269.7807	854.1468	471.878	1003.1776	656.816	142.6756	3049.571	446.4569	2752.7804	2157.9282	1167.1433
"TCGA.66.2769.01A.02R.0851.07"	5700.3405	942.868	146.4245	1522.5123	5665.91	1440.4086	91.1843	29217.9342	614.0673	3634.5062	1244.4192	1722.6636	2167.6126	505.8645	2656.8294	5868.7098	833.5225	238337.1169	1369.2773	589.4816	2545.5921	7480.8173	6251.9864	7856.6023	3335.6035	6319.7124	1572.8339	650.0189	1646.9921	1412.4101	1068.8611	1232.6901	55.997	5687.4764	1845.63	4190.6924	3303.8214	1521.3772
"TCGA.66.2770.01A.01R.0851.07"	1885.7336	760.311	117.309	522.3124	3742.0554	406.0176	312.0352	28086.545	329.4523	1652.1298	897.5659	1527.0453	792.7181	1069.3036	624.0703	4664.6383	768.0865	65702.5017	360.0406	1311.359	2191.6836	2896.5889	3408.384	1546.3151	1012.1704	2850.2366	659.5673	275.1859	940.5003	628.8032	257.9446	358.0122	135.9026	2757.9446	511.8323	3192.0216	1544.6247	1135.5646
"TCGA.66.2771.01A.01R.0980.07"	2203.9627	818.1818	395.1049	1384.0326	1599.6503	1013.4033	202.2145	29455.711	489.6329	3148.0186	1772.1445	1535.5478	2424.7494	621.2121	1881.1189	3304.1958	427.1562	99175.4079	283.7995	1240.676	1906.1772	4934.1142	4658.5082	3462.1212	2568.7646	1655.5944	1481.9347	245.9207	683.5664	412.5874	182.4009	783.7995	109.5571	3734.8485	306.5268	2356.6434	2633.4499	1043.1235
"TCGA.66.2773.01A.01R.1201.07"	2615.0943	2010.4822	163.1027	539.6226	4294.3396	1003.3543	193.2914	15124.5283	531.6813	2527.4633	1326.2055	1160.1677	1269.1824	683.8574	1013.8365	10012.5786	1139.2034	116386.5828	362.2642	1615.0943	1307.3375	5756.1887	5864.5702	2169.392	1540.0419	3693.0818	1112.369	324.5283	1119.4969	1072.5367	831.0273	448.218	168.1342	4222.2222	651.5723	4002.935	2712.369	1646.9602
