"ADIPOR2"	"AEBP2"	"ALG10"	"ARNTL2"	"ATN1"	"C12orf4"	"CCDC77"	"CD9"	"CDCA3"	"COPS7A"	"DERA"	"DNM1L"	"EMG1"	"ERC1"	"ERGIC2"	"FKBP4"	"FOXJ2"	"GAPDH"	"ITFG2"	"KDM5A"	"LPCAT3"	"M6PR"	"MLF2"	"MRPL51"	"MRPS35"	"NCAPD2"	"NECAP1"	"PARP11"	"PEX5"	"PLEKHA5"	"PLEKHG6"	"RAD51AP1"	"RAD52"	"STRAP"	"TULP3"	"USP5"	"WBP11"	"ZNF384"
"TCGA.18.3421.01A.01R.0980.07"	2404.7619	1489.229	232.4263	463.7188	1638.8889	814.059	131.5193	18130.3855	545.3061	2589.0023	1924.0363	1807.2562	2972.7891	293.0839	1615.6463	10466.5533	468.8209	238222.7891	479.0249	919.5011	1672.3356	3819.8016	7105.4422	4134.9206	4523.8095	1719.3878	1232.9932	337.8685	870.1814	789.1156	89.0023	737.5283	135.4875	4282.8798	331.6327	2622.449	2522.6757	706.3492
"TCGA.18.4083.01A.01R.1100.07"	2182.5063	1203.1119	149.7056	171.1522	5776.2826	364.5921	303.196	26932.296	391.3036	1522.7082	915.8957	2704.3734	807.8007	1309.5038	764.9285	3578.6375	625.3154	101009.2515	481.0765	1861.2279	1556.3499	2802.4558	4323.381	1477.7124	1523.5492	3125.3154	621.9512	333.4735	1444.0706	789.7393	188.3936	658.1161	199.7603	3261.1438	941.5475	3077.7965	2799.8318	1560.9756
"TCGA.18.4086.01A.01R.1100.07"	2467.9136	988.4326	154.0466	1324.2463	3468.6224	496.5924	264.1364	30069.9744	521.9605	2328.1232	1868.7555	2452.0733	1215.3445	743.3045	1349.9867	4917.6108	894.9751	111280.646	255.4243	1368.203	1793.9102	4305.2776	6448.9686	2593.8437	2255.654	3195.3778	745.2846	278.3927	1041.4975	691.8237	634.7987	636.7787	97.1127	4686.3429	649.8469	3370.8088	2608.8919	955.1681
"TCGA.18.4721.01A.01R.1443.07"	3616.5414	1035.7143	267.8571	997.1805	4205.8271	692.6692	202.0677	27077.0677	445.0376	3341.1654	1339.2857	1665.4135	1555.4511	1471.8045	1137.218	7502.8195	1139.0977	165532.8947	376.8797	2453.0075	4350.5639	6285.2162	6475.5639	2892.8571	1523.4962	4808.2707	1381.5789	404.1353	1600.5639	906.9549	422.9323	397.5564	123.1203	6903.1955	1111.8421	4462.406	1683.2707	1625
"TCGA.18.5592.01A.01R.1635.07"	4780.9332	1087.3893	123.8243	661.4921	8660.3963	479.9562	578.9426	51404.9858	778.4056	4292.9413	1268.5599	2297.1418	1064.7247	2129.1206	668.4321	7548.8996	1365.3548	172648.3426	872.2491	3610.2639	6249.2923	4794.784	7989.7726	2718.6558	1492.8317	10271.9386	774.3585	230.116	2594.8315	990.5945	1118.0714	534.7457	187.0149	3270.2036	1151.6756	5092.8682	2831.8875	3136.5172
"TCGA.18.5595.01A.01R.1635.07"	3159.3874	1285.8763	211.2876	751.5598	3047.0788	380.3176	327.5666	10785.8763	620.7147	1069.2002	1222.6319	1380.3176	459.1605	1863.8684	695.6892	6597.8446	1040.8395	173395.3488	227.7368	1665.9104	1971.6393	2049.6653	4099.2626	1804.3108	1215.5417	5049.6313	639.2513	85.0822	1275.9501	695.122	351.1061	596.1429	117.1299	3159.1038	776.2337	3127.6234	2520.4197	1211.004
"TCGA.21.1070.01A.01R.0692.07"	3438.221	1633.8035	155.149	1103.5033	4349.6589	962.3227	328.2573	23510.3079	836.5723	2328.7312	1540.5146	2471.4084	1429.2463	1193.799	1513.0767	6183.0109	1229.7178	94323.5929	774.7471	2010.4514	3747.0224	5746.8976	7033.0876	3024.6567	1664.7335	4340.6792	1264.1399	733.8397	976.2911	856.562	886.9932	792.2076	238.9594	4069.2932	1015.2031	2873.4987	3045.6093	2110.2256
"TCGA.21.1071.01A.01R.0692.07"	2910.3402	1950.5708	178.6545	646.3482	2775.1302	668.5138	298.3487	19271.6391	377.032	1993.572	1026.2662	2585.3929	786.4347	865.7874	1265.6544	3125.7896	1015.6267	105927.9619	294.3589	1760.8334	1664.1915	5338.3841	4160.4788	2116.8126	1549.3738	3138.2024	887.0664	308.5448	1125.568	992.1312	492.5191	420.2593	172.8915	4078.9095	607.3368	2447.9663	2479.8847	1200.0443
"TCGA.21.1072.01A.01R.0692.07"	4501.4032	1854.001	370.5152	3038.5808	2551.5671	444.6182	495.9203	17652.911	432.1383	1666.9621	1285.7589	4218.1729	1177.7787	1218.7812	1738.5713	6800.0224	1084.1132	92612.0519	226.5843	2808.4339	1692.9694	4412.7789	5354.3007	2388.0416	3057.1065	3473.2236	905.2684	272.5424	1201.6805	1261.533	362.6774	497.7016	113.6484	4535.6046	753.1434	2429.3683	2188.8897	1221.2751
"TCGA.21.1075.01A.01R.0692.07"	4150.8897	1446.2633	213.1673	1158.0071	2145.9075	447.6868	246.9751	20082.5623	421.9217	2611.7438	2016.0142	2099.6441	1313.5231	574.7331	1380.0712	3532.7402	1099.6441	245318.5053	450.1779	1397.153	970.8185	3813.4875	4617.7936	2171.1744	2287.9004	3068.3274	838.79	334.5196	1328.8256	1655.1601	396.7972	834.1637	146.6192	4503.9146	629.1815	2546.2633	2640.2135	986.121
